prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.320511,0.690318,2.432207,38.367,2.01,47.044,WordByWordMontgomery x64
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.252818,0.656653,2.131273,34.166,1.568,38.186,UnsaturatedSolinas x32 (0)
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.043895,0.104264,0.348203,5.812,0.251,6.193,UnsaturatedSolinas x64 (0)
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,10.301414,21.529710,85.674964,104.212,36.086,906.525,WordByWordMontgomery x32
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.774352,1.537147,5.118939,75.861,4.984,122.39,WordByWordMontgomery x64
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,0.279129,0.685547,2.294334,37.042,1.779,48.488,UnsaturatedSolinas x32 (0)
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,0.060329,0.146417,0.487405,8.067,0.364,8.856,UnsaturatedSolinas x64 (0)
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,10.169497,20.805518,81.925949,,36.053,921.759,WordByWordMontgomery x32
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,0.790541,1.494150,5.275124,76.657,4.984,123.269,WordByWordMontgomery x64
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.262935,0.648711,2.158423,33.616,1.684,46.585,UnsaturatedSolinas x32 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.043059,0.105328,0.344171,5.856,0.271,6.677,UnsaturatedSolinas x64 (0)
